"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","not offered","",""
"SSLv3","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","not offered","",""
"TLS1","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","offered","",""
"TLS1_3","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","h2","",""
"ALPN","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","server","",""
"FS","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","offered","",""
"FS_ciphers","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","random","",""
"certificate_compression","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","none","",""
"clientAuth","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","none","",""
"cert_numbers","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","pacoupa.incubateur.ademe.dev/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","0513226D112A27195A53AE7D8B74B73DC4DD","",""
"cert_serialNumberLen","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","pacoupa.incubateur.ademe.dev/109.232.236.90","443","INFO","C195137C07CE26AE757EFF364DBE87888C2CB047","",""
