"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","HTTP","",""
"pre_128cipher","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","No 128 cipher limit bug","",""
"SSLv2","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","",""
"SSLv3","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","",""
"TLS1","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"TLS1_1","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"TLS1_2","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"TLS1_3","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","offered with final","",""
"ALPN_HTTP2","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","h2","",""
"ALPN","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","http/1.1","",""
"cipherlist_NULL","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_LOW","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"cipherlist_STRONG_FS","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"cipher_order-tls1_2","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","server","",""
"cipherorder_TLSv1_2","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","server","",""
"FS","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"FS_ciphers","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","yes","",""
"sessionresumption_ticket","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not supported","",""
"sessionresumption_ID","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not supported","",""
"TLS_timestamp","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","random","",""
"certificate_compression","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","none","",""
"clientAuth","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","none","",""
"cert_numbers","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","1","",""
"cert_signatureAlgorithm","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","SHA256 with RSA","",""
"cert_keySize","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","063C4C27A87FF5B9FEA019EE482F1BD89FB7","",""
"cert_serialNumberLen","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","18","",""
"cert_fingerprintSHA1","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","3B8BDECC379E2C56268B2B6ECD4F6A70DFDC31D2","",""
"cert_fingerprintSHA256","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","CE71D352085327AD0B4DF1572411992949FFCEEE0C131563DFEB3AC81B0991B4","",""
"cert","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFMTCCBBmgAwIBAgISBjxMJ6h/9bn+oBnuSC8b2J+3MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwNTAzMTAwNzQ1WhcNMjUwODAxMTAwNzQ0WjAjMSEwHwYDVQQDExhjYXJ0ZS12ZXJ0ZS5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCaz6mK0V0PFzsR89fCW6fc+c+GjNh+jMIn2hbtr5KW0y9BtAI8LK2sxxDOzYe1rJ81+BJbHb2Zan0aSndiPJB3nLAQ8oxMoDZbOI0XCZNMI4CK3G+Z71KfH7UjfuoeNNmaF1YLU72/cqrNtm5dykBubXMtZPT1/3JllS9pu9gAq2l7pEx+WloybiRZZUPFw82Eipn9sTcbPC+EBgjUKyuzWBflNDQJmdUFugJjnApnnC+hVTZi/bEnmr/AG343jK/Cta9BJGgVkcG6XEGhe/XKJ6drNMxNUjaCd0QevIIfcl2GSXui2ennx2mlrWurtHKa/PMk8VBE54a+rvnu5Y6VAgMBAAGjggJNMIICSTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFMvNwYXaGcn49QPe01dqZcd1kevTMB8GA1UdIwQYMBaAFLu8w0el5LypxsOkcgwQjaI14cjoMFcGCCsGAQUFBwEBBEswSTAiBggrBgEFBQcwAYYWaHR0cDovL3IxMC5vLmxlbmNyLm9yZzAjBggrBgEFBQcwAoYXaHR0cDovL3IxMC5pLmxlbmNyLm9yZy8wIwYDVR0RBBwwGoIYY2FydGUtdmVydGUuYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTAuYy5sZW5jci5vcmcvNTYuY3JsMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHYAzPsPaoVxCWX+lZtTzumyfCLphVwNl422qX5UwP5MDbAAAAGWldNQPwAABAMARzBFAiEAllJ2RkCiNOXMe1RUIWSTAe2G2qxyZaZoSN9chTw7ybkCIHAaMSFccoZRnksh5wLknreLZgyJ/dRhslBuSYy2a1XTAHcA3dzKNJXX4RYF55Uy+sef+D0cUN/bADoUEnYKLKy7yCoAAAGWldNQZgAABAMASDBGAiEA+NhwQAjqwWat6i+R0C3gafK6bBfOaYR18ER2HKMYBNgCIQCLs/NkU95XVqheLL8EXMHbniKOtAZszgDY5cCdsHtqwjANBgkqhkiG9w0BAQsFAAOCAQEAx8NuzZVibpALBhmuX4XthjkxOLSL4C6VenjhCEhcKnZ6xhYZw3j2opgHNK5YRl8sOjTTTEyYknw6UDK/vqiraEWwPFpr7/ru6gjQ4PqO+uOYn44NstSRTU+1AF6jPCwhd70gWRsveuxoSpie74W7DiisCvEY6SvHgh9/NpjnA8UZ9woOE0rXw42PI6cmk/h8ibI1lPCnY9tYBB7f74FJMMGz6N04rzUIQRQZVCBRA1LB6wmOjXLLq33VCgdsf2WX6Lih87YmDJ1XKbNZxMaA4OZ02P3fdyptYyw2XdWfcI/oGnZLP94NululwRWUuWrzJzcLykHexw6O9UCc/Mijyg==\n-----END CERTIFICATE-----","",""
"cert_commonName","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","carte-verte.beta.gouv.fr","",""
"cert_commonName_wo_SNI","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","carte-verte.beta.gouv.fr","",""
"cert_trust","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","carte-verte.beta.gouv.fr/148.253.75.120","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","passed.","",""
"cert_certificatePolicies_EV","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","no","",""
"cert_expirationStatus","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","54 >= 30 days","",""
"cert_notBefore","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","2025-05-03 10:07","",""
"cert_notAfter","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","2025-08-01 10:07","",""
"cert_extlifeSpan","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not present","",""
"cert_crlDistributionPoints","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","http://r10.c.lencr.org/56.crl","",""
"cert_ocspURL","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","carte-verte.beta.gouv.fr/148.253.75.120","443","LOW","not offered","",""
"cert_mustStapleExtension","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","--","",""
"DNS_CAArecord","carte-verte.beta.gouv.fr/148.253.75.120","443","LOW","--","",""
"certificate_transparency","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","yes (certificate extension)","",""
"certs_countServer","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","2","",""
"certs_list_ordering_problem","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","no","",""
"cert_caIssuers","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","R10 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBTCCAu2gAwIBAgIQS6hSk/eaL6JzBkuoBI110DANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDPV+XmxFQS7bRH/sknWHZGUCiMHT6I3wWd1bUYKb3dtVq/+vbOo76vACFLYlpaPAEvxVgD9on/jhFD68G14BQHlo9vH9fnuoE5CXVlt8KvGFs3Jijno/QHK20a/6tYvJWuQP/py1fEtVt/eA0YYbwX51TGu0mRzW4Y0YCF7qZlNrx06rxQTOr8IfM4FpOUurDTazgGzRYSespSdcitdrLCnF2YRVxvYXvGLe48E1KGAdlX5jgc3421H5KRmudKHMxFqHJV8LDmowfs/acbZp4/SItxhHFYyTr6717yW0QrPHTnj7JHwQdqzZq3DZb3EoEmUVQK7GH29/Xi8orIlQ2NAgMBAAGjgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBS7vMNHpeS8qcbDpHIMEI2iNeHI6DAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAkrHnQTfreZ2B5s3iJeE6IOmQRJWjgVzPw139vaBw1bGWKCIL0vIozwzn1OZDjCQiHcFCktEJr59L9MhwTyAWsVrdAfYf+B9haxQnsHKNY67u4s5Lzzfdu6PUzeetUK29v+PsPmI2cJkxp+iN3epi4hKu9ZzUPSwMqtCceb7qPVxEbpYxY1p91n5PJKBLBX9eb9LU6l8zSxPWV7bK3lG4XaMJgnT9x3ies7msFtpKK5bDtotij/l0GaKeA97pb5uwD9KgWvaFXMIEt8jVTjLEvwRdvCn294GPDF08U8lAkIv7tghluaQh1QnlE4SEN4LOECj8dsIGJXpGUk3aU3KkJz9icKy+aUgA+2cP21uh6NcDIS3XyfaZQjmDQ993ChII8SXWupQZVBiIpcWO4RqZk3lr7Bz5MUCwzDIA359e57SSq5CCkY0N4B6Vulk7LktfwrdGNVI5BsC9qqxSwSKgRJeZ9wygIaehbHFHFhcBaMDKpiZlBHyzrsnnlFXCb5s8HKn5LsUgGvB24L7sGNZP2CX7dhHov+YhD+jozLW2p9W4959Bz2EiRmqDtmiXLnzqTpXbI+suyCsohKRg6Un0RC47+cpiVwHiXZAW+cn8eiNIjqbVgXLxKPpdzvvtTnOPlC7SQZSYmdunr3Bf9b77AiC/ZidstK36dRILKz7OA54=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","9D7C3F1AA6AD2B2EC0D5CF1E246F8D9AE6CBC9FD0755AD37BB974B1F2FB603F3","",""
"intermediate_cert_notBefore <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","R10 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","-1 seconds from localtime","",""
"HTTP_headerTime","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","1749348611","",""
"HSTS","carte-verte.beta.gouv.fr/148.253.75.120","443","LOW","not offered","",""
